"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"62","MS Wade","2012-2017",94,80,11,1777,"100*","25.75",2164,82.11,1,10,5,122,32,NA
"63","CL White","2009-2018",63,58,10,1757,"105","36.6",2256,77.88,2,11,3,129,34,NA
"64","MR Marsh","2011-2018",53,49,9,1428,"102*","35.7",1534,93.08,1,11,4,120,37,NA
"65","DJ Hussey","2009-2013",54,47,6,1381,"111","33.68",1497,92.25,1,10,4,103,23,NA
"66","TM Head","2016-2018",42,39,2,1273,"128","34.4",1414,90.02,1,10,1,135,16,NA
"67","JP Faulkner","2013-2017",69,52,22,1032,"116","34.4",990,104.24,1,4,4,83,29,NA
"68","TD Paine","2009-2018",35,35,3,890,"111","27.81",1257,70.8,1,5,1,96,6,NA
"69","AC Voges","2009-2013",30,27,8,854,"112*","44.94",988,86.43,1,4,0,61,9,NA
"70","PJ Hughes","2013-2014",25,24,1,826,"138*","35.91",1100,75.09,2,4,1,91,5,NA
"71","MG Johnson","2009-2015",103,68,24,823,"73*","18.7",819,100.48,0,2,3,71,21,NA
"72","MP Stoinis","2015-2019",24,24,5,807,"146*","42.47",833,96.87,1,5,1,59,34,NA
"73","JR Hopes","2009-2010",38,29,6,700,"63*","30.43",698,100.28,0,2,0,74,4,NA
"74","UT Khawaja","2013-2019",21,20,2,583,"98","32.38",725,80.41,0,5,1,54,8,NA
"75","CJ Ferguson","2009-2011",26,21,6,561,"71*","37.4",702,79.91,0,4,0,51,0,NA
"76","PJ Forrest","2012-2012",15,14,0,368,"104","26.28",561,65.59,1,3,2,34,4,NA
"77","B Lee","2009-2012",48,25,8,321,"59","18.88",347,92.5,0,1,8,26,10,NA
"78","PSP Handscomb","2017-2019",11,10,0,300,"82","30",295,101.69,0,3,1,20,3,NA
"79","NM Hauritz","2009-2011",49,27,14,294,"53*","22.61",306,96.07,0,1,0,19,7,NA
"80","MA Starc","2010-2018",75,38,16,280,"52*","12.72",313,89.45,0,1,6,23,7,NA
"81","DT Christian","2012-2014",19,18,5,273,"39","21",307,88.92,0,0,0,23,3,NA
"82","JW Hastings","2010-2017",29,21,11,271,"51","27.1",273,99.26,0,1,1,29,8,NA
"83","AT Carey","2018-2019",9,9,0,246,"47","27.33",322,76.39,0,0,0,25,2,NA
"84","CJ McKay","2009-2014",59,31,10,190,"30","9.04",337,56.37,0,0,3,15,2,NA
"85","PJ Cummins","2011-2018",42,23,9,166,"36","11.85",246,67.47,0,0,3,13,3,NA
"86","JA Burns","2015-2015",6,6,0,146,"69","24.33",184,79.34,0,1,1,16,1,NA
"87","AC Agar","2015-2018",9,8,1,144,"46","20.57",166,86.74,0,0,2,17,1,NA
"88","NM Coulter-Nile","2013-2018",22,15,5,120,"34","12",157,76.43,0,0,2,9,2,NA
"89","XJ Doherty","2010-2015",60,23,16,101,"15*","14.42",184,54.89,0,0,2,5,1,NA
"90","A Zampa","2016-2019",34,17,4,97,"22","7.46",154,62.98,0,0,3,6,1,NA
"91","DJM Short","2018-2018",4,4,1,83,"47*","27.66",99,83.83,0,0,1,7,1,NA
"92","A Symonds","2009-2009",5,4,0,82,"58","20.5",109,75.22,0,1,0,6,1,NA
"93","MC Henriques","2009-2017",11,10,1,81,"18","9",119,68.06,0,0,0,7,0,NA
"94","CA Lynn","2017-2018",4,4,0,75,"44","18.75",89,84.26,0,0,1,5,3,NA
"95","NM Lyon","2012-2019",17,9,6,62,"30","20.66",64,96.87,0,0,1,6,2,NA
"96","AJ Tye","2018-2018",7,7,3,57,"19","14.25",48,118.75,0,0,0,5,2,NA
"97","BCJ Cutting","2013-2014",4,2,0,53,"27","26.5",67,79.1,0,0,0,4,1,NA
"98","DE Bollinger","2009-2011",39,8,2,50,"30","8.33",54,92.59,0,0,1,5,0,NA
"99","KW Richardson","2013-2018",18,8,3,45,"19","9",53,84.9,0,0,2,2,3,NA
"100","JL Pattinson","2011-2015",15,8,4,42,"13","10.5",80,52.5,0,0,0,2,0,NA
